"","...1","X1","X2","X3","X4","values","ind"
"1",5,1.35676489422026e-05,0.596372101084521,0.403600763617594,1.35676489421733e-05,6,"Alaska"
"2",6,0.358252221842961,0.641731086361225,8.34589790652777e-06,8.34589790712513e-06,13,"Alaska"
"3",7,1.11257727131849e-05,0.999966622681862,1.11257727131011e-05,1.11257727121837e-05,10,"Alaska"
"4",8,9.79267133996194e-06,9.79267134000408e-06,9.79267134058875e-06,0.999970621985979,1.66666666666667,"Alaska"
"5",9,8.68691115164733e-06,0.999973939266546,8.68691115076786e-06,8.68691115121297e-06,6.33333333333333,"Alaska"
"6",10,7.73644254098029e-06,0.999976790672377,7.73644254071535e-06,7.7364425410632e-06,10.3333333333333,"Alaska"
"7",11,9.26499394310399e-06,9.26499394376781e-06,0.99997220501817,9.26499394329821e-06,17.6666666666667,"Alaska"
"8",12,1.02122038988947e-05,0.310187309346812,1.02122038993962e-05,0.68979226624539,12.3333333333333,"Alaska"
"9",13,3.9080952526587e-05,0.739796465185596,0.260125372909351,3.90809525265465e-05,9.66666666666667,"Alaska"
"10",14,7.72884126037977e-06,0.980982641832466,7.72884126060084e-06,0.0190019004850134,-8,"Alaska"
"11",15,1.52290265223691e-05,1.52290265221788e-05,1.52290265220477e-05,0.999954312920433,11.3333333333333,"Alaska"
"12",16,9.62492325806851e-06,9.62492325714251e-06,9.62492325789174e-06,0.999971125230227,1.33333333333333,"Alaska"
"13",17,0.242313945930612,2.09609909186256e-05,0.757644132087551,2.0960990917917e-05,15.3333333333333,"Alaska"
"14",18,0.304999218929033,0.694975397054747,1.26920081102749e-05,1.26920081099343e-05,8,"Alaska"
"15",19,0.37948761365794,0.620492255939812,1.00652011242252e-05,1.00652011243111e-05,1.66666666666667,"Alaska"
"16",20,0.869849417060889,1.20273592351456e-05,1.20273592353772e-05,0.13012652822064,5.66666666666667,"Alaska"
"17",21,1.22331049222784e-05,1.22331049242069e-05,1.22331049237951e-05,0.99996330068523,19,"Alaska"
"18",22,0.999966563567744,1.11454774186288e-05,1.11454774181523e-05,1.11454774186613e-05,4.66666666666667,"Alaska"
"19",23,0.999944082808756,1.86390637483484e-05,1.86390637483516e-05,1.86390637476633e-05,3.66666666666667,"Alaska"
"20",24,0.0418405126613599,0.958134215454977,1.2635941832049e-05,1.26359418314536e-05,18,"Alaska"
"21",25,1.00107621919579e-05,0.999969967713425,1.00107621914467e-05,1.00107621914797e-05,4.33333333333333,"Alaska"
"22",26,0.999951420925168,1.61930249432856e-05,1.61930249444252e-05,1.61930249444672e-05,8,"Alaska"
"23",27,0.967496767840521,8.78146254170857e-06,8.78146254196521e-06,0.0324856692343954,-4.33333333333333,"Alaska"
"24",28,1.18018005054346e-05,1.18018005056388e-05,0.999964594598484,1.18018005054907e-05,-2,"Alaska"
"25",29,0.0121789386242597,1.13669273409449e-05,1.13669273412877e-05,0.987798327521058,4.33333333333333,"Alaska"
"26",30,0.99995171908955,1.60936368156288e-05,1.60936368159625e-05,1.60936368179119e-05,-8.33333333333333,"Alaska"
"27",31,3.10881153802314e-05,3.10881153797464e-05,0.00720037455095151,0.992737449218289,2.66666666666667,"Alaska"
"28",32,6.0379052202756e-05,6.03790522030338e-05,0.999818862843391,6.03790522028769e-05,-0.666666666666667,"Alaska"
"29",33,0.137159418430923,0.499638704383679,0.363102027920436,9.98492649622928e-05,-10.3333333333333,"Alaska"
"30",5,1.35676489422026e-05,0.596372101084521,0.403600763617594,1.35676489421733e-05,-14,"Arizona"
"31",6,0.358252221842961,0.641731086361225,8.34589790652777e-06,8.34589790712513e-06,-8.33333333333333,"Arizona"
"32",7,1.11257727131849e-05,0.999966622681862,1.11257727131011e-05,1.11257727121837e-05,-13.3333333333333,"Arizona"
"33",8,9.79267133996194e-06,9.79267134000408e-06,9.79267134058875e-06,0.999970621985979,-14.3333333333333,"Arizona"
"34",9,8.68691115164733e-06,0.999973939266546,8.68691115076786e-06,8.68691115121297e-06,-13.3333333333333,"Arizona"
"35",10,7.73644254098029e-06,0.999976790672377,7.73644254071535e-06,7.7364425410632e-06,-13.6666666666667,"Arizona"
"36",11,9.26499394310399e-06,9.26499394376781e-06,0.99997220501817,9.26499394329821e-06,18.6666666666667,"Arizona"
"37",12,1.02122038988947e-05,0.310187309346812,1.02122038993962e-05,0.68979226624539,-13,"Arizona"
"38",13,3.9080952526587e-05,0.739796465185596,0.260125372909351,3.90809525265465e-05,5.66666666666667,"Arizona"
"39",14,7.72884126037977e-06,0.980982641832466,7.72884126060084e-06,0.0190019004850134,-14.6666666666667,"Arizona"
"40",15,1.52290265223691e-05,1.52290265221788e-05,1.52290265220477e-05,0.999954312920433,-10.3333333333333,"Arizona"
"41",16,9.62492325806851e-06,9.62492325714251e-06,9.62492325789174e-06,0.999971125230227,-0.333333333333333,"Arizona"
"42",17,0.242313945930612,2.09609909186256e-05,0.757644132087551,2.0960990917917e-05,-3.66666666666667,"Arizona"
"43",18,0.304999218929033,0.694975397054747,1.26920081102749e-05,1.26920081099343e-05,-9.33333333333333,"Arizona"
"44",19,0.37948761365794,0.620492255939812,1.00652011242252e-05,1.00652011243111e-05,-0.666666666666667,"Arizona"
"45",20,0.869849417060889,1.20273592351456e-05,1.20273592353772e-05,0.13012652822064,-12.6666666666667,"Arizona"
"46",21,1.22331049222784e-05,1.22331049242069e-05,1.22331049237951e-05,0.99996330068523,17.6666666666667,"Arizona"
"47",22,0.999966563567744,1.11454774186288e-05,1.11454774181523e-05,1.11454774186613e-05,-14,"Arizona"
"48",23,0.999944082808756,1.86390637483484e-05,1.86390637483516e-05,1.86390637476633e-05,-13.6666666666667,"Arizona"
"49",24,0.0418405126613599,0.958134215454977,1.2635941832049e-05,1.26359418314536e-05,-12,"Arizona"
