"V1","V2","V3","V4","V5","dates"
2.41656615277782e-07,5.32727546865503e-06,0.000130733034518184,0.99985084530933,1.28527240667761e-05,2020-01-14
7.01982402021815e-07,1.20174319936421e-05,0.000150225148757558,0.999808564576586,2.84908602602283e-05,2020-01-28
7.67635894558438e-07,1.22180695110794e-05,0.000113144615710271,0.999847579937161,2.62897417226138e-05,2020-01-30
1.68340974817871e-06,2.05038283804673e-05,8.34625742346334e-05,0.999861464573003,3.28856146334919e-05,2020-02-10
3.06951228443324e-06,0.000903782225121986,0.000198337845685932,0.99887856522643,1.62451904777695e-05,2020-02-19
3.59601087256728e-06,3.38064342510811e-05,7.30108664457239e-05,0.999848599861274,4.09868271556142e-05,2020-02-20
3.78667532239635e-06,3.32564200126952e-05,7.30532333829259e-05,0.999842107554687,4.77961165953971e-05,2020-02-21
7.37942452575662e-06,6.62411395678088e-05,0.000133905364583055,0.999716179932665,7.62941386584115e-05,2020-02-28
9.55111191107607e-06,9.46914506619873e-05,0.000141686802458577,0.999681318111272,7.27525236966817e-05,2020-03-02
9.01275908225011e-07,0.000288039429029656,0.998572668624023,0.0010402315212507,9.81591497888766e-05,2020-03-11
1.89299441240962e-07,6.29964017131124e-05,0.99982314008588,9.20728754341303e-05,2.16013375322619e-05,2020-03-13
1.43249954310232e-06,0.000451310778762454,0.999458758293499,5.19396081420498e-05,3.65588200524135e-05,2020-04-13
4.03723867331859e-06,0.00127238905437337,0.998396022445377,0.000214193301379097,0.000113357960197085,2020-04-15
2.69607969490328e-06,0.000192712223906406,0.999677885100972,4.41528126047279e-05,8.25537828222899e-05,2020-04-23
0.000455343865523591,0.795885522459741,0.198256002672776,0.00465617570083652,0.000746955301123086,2020-06-01
0.0980755728397875,0.365095254140572,0.0012757001504596,0.239172378728218,0.296381094140963,2020-06-20
0.0270652349025091,0.27323170194683,0.182595734075816,0.457034429910853,0.0600728991639912,2020-07-04
0.000182312054446196,0.000199139184164943,9.54299009171073e-05,0.000117492122483815,0.999405626737988,2020-08-08
0.000329731600311608,0.000369940508278935,4.81978248438035e-05,0.000151694243499038,0.999100435823067,2020-08-18
0.000775224663543205,0.99866991619208,0.000164296975950397,0.000112795928381039,0.000277766240046308,2020-08-28
0.23332774354875,0.00469294521169088,6.83289763367107e-09,0.759920318427905,0.00205898597875713,2020-09-01
0.505299729529941,0.484323969760078,0.000665060253692414,0.000482203685244225,0.00922903677104413,2020-09-03
0.000304160564519358,0.000266373549336256,2.04772964809001e-05,3.50881115231955e-05,0.99937390047814,2020-09-07
0.000833763930287421,0.997396114404192,1.62860262316121e-05,0.00112915100864173,0.000624684630647225,2020-09-08
0.000562884264449836,0.999210490231246,7.57918802171509e-05,3.23937333548933e-05,0.000118439890732825,2020-09-10
0.000599839869267206,0.999212916485698,6.34769490841324e-05,2.81315793310621e-05,9.56351166202694e-05,2020-09-12
0.000341220808727948,0.999471352778646,6.65306944670115e-05,2.09345830627616e-05,9.99611350962061e-05,2020-09-13
0.136964400749065,0.862419841732547,9.57853396729913e-05,0.000158989506192454,0.000360982672523486,2020-09-17
0.99958486156219,0.000259218184844095,1.63847923179678e-07,4.3047356246845e-05,0.000112709048796565,2020-09-18
0.999373930917581,0.000452948340709022,2.67761469127729e-07,4.68810684777447e-05,0.000125971911763019,2020-09-19
0.663151553111576,0.336389238529358,3.78399257518762e-05,0.00017463246145717,0.00024673597185747,2020-09-21
0.752574883333216,0.24670727390071,3.41425604624888e-05,0.000200262429122859,0.000483437776488743,2020-09-22
0.709852683027718,0.00139038950246547,1.00333076358726e-06,3.3162176507957e-05,0.288722761962545,2020-11-05
