"","1","2","3","4"
"1",1.14621649883468e-05,0.999965613505035,1.14621649882467e-05,1.14621649886146e-05
"2",9.33370239753258e-06,9.33370239815522e-06,0.999971998892806,9.33370239800246e-06
"3",4.86915392943531e-06,4.8691539293554e-06,0.999985392538212,4.86915392968266e-06
"4",0.0685926146348225,0.931386451387701,1.04669887385377e-05,1.04669887379533e-05
"5",1.35676489422026e-05,0.596372101084521,0.403600763617594,1.35676489421733e-05
"6",0.358252221842961,0.641731086361225,8.34589790652777e-06,8.34589790712513e-06
"7",1.11257727131849e-05,0.999966622681862,1.11257727131011e-05,1.11257727121837e-05
"8",9.79267133996194e-06,9.79267134000408e-06,9.79267134058875e-06,0.999970621985979
"9",8.68691115164733e-06,0.999973939266546,8.68691115076786e-06,8.68691115121297e-06
"10",7.73644254098029e-06,0.999976790672377,7.73644254071535e-06,7.7364425410632e-06
"11",9.26499394310399e-06,9.26499394376781e-06,0.99997220501817,9.26499394329821e-06
"12",1.02122038988947e-05,0.310187309346812,1.02122038993962e-05,0.68979226624539
"13",3.9080952526587e-05,0.739796465185596,0.260125372909351,3.90809525265465e-05
"14",7.72884126037977e-06,0.980982641832466,7.72884126060084e-06,0.0190019004850134
"15",1.52290265223691e-05,1.52290265221788e-05,1.52290265220477e-05,0.999954312920433
"16",9.62492325806851e-06,9.62492325714251e-06,9.62492325789174e-06,0.999971125230227
"17",0.242313945930612,2.09609909186256e-05,0.757644132087551,2.0960990917917e-05
"18",0.304999218929033,0.694975397054747,1.26920081102749e-05,1.26920081099343e-05
"19",0.37948761365794,0.620492255939812,1.00652011242252e-05,1.00652011243111e-05
"20",0.869849417060889,1.20273592351456e-05,1.20273592353772e-05,0.13012652822064
"21",1.22331049222784e-05,1.22331049242069e-05,1.22331049237951e-05,0.99996330068523
"22",0.999966563567744,1.11454774186288e-05,1.11454774181523e-05,1.11454774186613e-05
"23",0.999944082808756,1.86390637483484e-05,1.86390637483516e-05,1.86390637476633e-05
"24",0.0418405126613599,0.958134215454977,1.2635941832049e-05,1.26359418314536e-05
"25",1.00107621919579e-05,0.999969967713425,1.00107621914467e-05,1.00107621914797e-05
"26",0.999951420925168,1.61930249432856e-05,1.61930249444252e-05,1.61930249444672e-05
"27",0.967496767840521,8.78146254170857e-06,8.78146254196521e-06,0.0324856692343954
"28",1.18018005054346e-05,1.18018005056388e-05,0.999964594598484,1.18018005054907e-05
"29",0.0121789386242597,1.13669273409449e-05,1.13669273412877e-05,0.987798327521058
"30",0.99995171908955,1.60936368156288e-05,1.60936368159625e-05,1.60936368179119e-05
"31",3.10881153802314e-05,3.10881153797464e-05,0.00720037455095151,0.992737449218289
"32",6.0379052202756e-05,6.03790522030338e-05,0.999818862843391,6.03790522028769e-05
"33",0.137159418430923,0.499638704383679,0.363102027920436,9.98492649622928e-05
