"","dates","doc_id","virus","case","dr","ventil","health","coronavirus","secretari","area","fauci","dr_fauci","direct","provid","suppli","discuss","travel","author","posit","addit","guidelin","laboratori","critic","medic","task","cdc","decis","lab","reopen","task_forc","emerg","respons","program","issu","vaccin","result","avail","recommend","abbott","machin","team","rapid","effort","progress","bryan","distribut","spread","talk","billion","outbreak","half","measur","food","impact","mitig","part","covid-19","capac","advic","nurs","continu","phase","within","chain","relief","organiz","percent","deploy","treatment","expand","payment","expect","challeng","economi","offici","resourc","effect","guidanc","stockpil","given","spoke","studi","humid","loan","individu","detroit","feder_govern","nurs_home","order","particular","data","extend","potenti","acting","metro","media","specif","toni","profession","contact","heard","fda","antibodi","acting_secretari","secretari_bryan","restrict","share","present","sever","surfac","therapi","facil","exampl","encourag","date","work_close","activ","situat","symptom","night","essenti","current","prevent","committe","covid","moment","public_health","suppli_chain","determin","googl","answer","constitut","various","access","social_distanc","relat","involv","jon","admiral","accur","healthcar_worker","million_test","signific","screen","per","risk","design","heat","extraordinari","consequ","websit","cruis","roch","respond","declin","europ","process","demand","deborah","sonni","seem","brief","obvious","video","slide","convers","difficult","curv","will_abl","employe","reflect","need_ventil","might","unpreced","payrol","lead","univers","confid","agre","practic","candid","suspend","crisi","across","world_health","abil","liter","fema","schedul","approach","comment","scale","similar","greatest_economi","restaur","save_live","need_need","infrastructur","reach","later","sector","matter"
"1",28-01-20,"WildwoodJan28_2020.txt",0,0.135761230218074,0,0,1.08516538085265,0,0,0.12057393120585,0,0,0.479520677850117,0.138302698166281,0,0,0,0.943181871665888,0,0,0,0,0.526482869549163,0.207081183814139,0,0,0.217483944213906,0.518513939877887,0,0,0,1.21371176271315,0.217483944213906,0.313572207720589,0.392589290287936,0.602869656029249,0,0,0,0,0,0.217483944213906,0.217483944213906,0.372385904199649,0,0,0,0,0.108608984174459,0,0.261450527156701,0,0,0,0,0.138302698166281,0,0,0,0,0,0,0.314393957221963,0,0,0,0,0,0,0,0,0,0,0.1743003514378,0,0,0.288065018499614,0,0,0.176091259055681,0.288065018499614,0,0,0,0,0,0,0,0.0543044920872295,0,0,0,0.518513939877887,0,0,0,0,0,0,0,0.285423634142673,0,0,0,0,0,0.673415899863631,0.342422680822206,0,0,0,0,0.439332693830263,0,0,0,0.439332693830263,0.314393957221963,0,0.1743003514378,0,0,0,0,0,0.864195055498841,0,0,0,0,0,0.719281016775176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518513939877887,0,0,0,0,0,0,0,0,0.196294645143968,0.439332693830263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156786103860295,0,0,0,0,0,0,0.288065018499614,0.263241434774581,0,0,0,0,0,0.404570587571051,0,0,0,0,0,0,0,0,0.477121254719662,0,0,0.719281016775176,0,0,0
"2",12-09-20,"MindenSep12_2020.txt",0.414908094498844,0.108608984174459,0.740362689494244,2.02285293785525,0.12057393120585,0,1.36969072328883,0.36172179361755,0,0,0,0.138302698166281,0.314393957221963,0,0.479520677850117,0.628787914443925,0.434967888427812,0.404570587571051,0,0,0.263241434774581,0.207081183814139,0,0.673415899863631,0,0,0,0,0,0,1.52238760949734,0,1.76665180629571,0,0,0,0,0,0,0.869935776855625,0,0,0,0,0.809141175142101,0,0.325826952523377,0.673415899863631,1.2201024600646,0,0,0.372385904199649,0,0.276605396332563,0,0,0,0,0.439332693830263,0,1.25757582888785,0,0.518513939877887,0,0,0,0,0,0,0,0,0.435750878594501,0.439332693830263,0,0,0,0,0.176091259055681,0.288065018499614,0,0,0,0,0,0,0,0.162913476261689,0,0,0,0,0,0,0.479520677850117,0,0,0,0,0.142711817071337,0,0,0,0,0,0.673415899863631,0,0.518513939877887,0,0.342422680822206,0,0,0,0,0,0,0,0,0.348600702875601,0,0,0,0.518513939877887,0.819543935541869,0,0,0,0,0,1.05296573909833,0,0,0,0,0,0,0,0,0.878665387660525,0,0,0,0,0,0,0,0,0.518513939877887,0,0,0,0,0.954242509439325,0,0.588883935431905,0,1.03702787975577,0,0.615423952885944,0,0,0.809141175142101,0,0,0,0,0,0,0,0,0,0.470358311580884,0,0,1.23263881338977,0,0,0,0,0.526482869549163,0,0,0,0,0,0,0,0.477121254719662,0,0,0,0,0.628787914443925,0,0,0.673415899863631,0,0,0.352182518111362,0,0.103540591907069
"3",20-06-20,"TulsaJun20_2020.txt",0.691513490831407,0.135761230218074,0,0.404570587571051,0.12057393120585,0,0.342422680822206,0.2411478624117,0,0,0.479520677850117,0.138302698166281,0,0,0.479520677850117,0,0.217483944213906,0,0,0,0.263241434774581,0.310621775721208,0,0,0.869935776855625,0,0,0,0,0,0.217483944213906,0.156786103860295,0,0.12057393120585,0,0,0,1.48072537898849,0,0,0,0,0,0,0,0.12057393120585,0.461588182741451,0,0.261450527156701,0,0,0,0,0.138302698166281,0.740362689494244,0,0,0,0,0,0,0,0,0.809141175142101,0.342422680822206,0.819543935541869,0,0,0,0,0.477121254719662,0.261450527156701,0,0,0,0,0,0,0,0.477121254719662,0,0,0,0.740362689494244,0,0,0.0814567381308443,0,0,0,0,0,0,0,0,0,0.439332693830263,0,0.570847268285346,0,0,0,0,0,0.673415899863631,0,0,0.916453948549925,0,0,0.439332693830263,0,0,0.564271430438563,0,0,0,0.0871501757189002,0.954242509439325,0.518513939877887,0,0,5.73680754879308,0,0,0,0,0,0,0.719281016775176,0,0.564271430438563,0,0,0.372385904199649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196294645143968,0,0.518513939877887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156786103860295,0,0,0.176091259055681,0.518513939877887,0,0,0,0.263241434774581,0,0,0.156786103860295,0,0,0,0,0,0,0.819543935541869,0.673415899863631,0,0,0,0,0,0,0.239760338925059,0.176091259055681,0,0.207081183814139
"4",18-08-20,"YumaAug18_2020.txt",0.553210792665126,0.0543044920872295,0,0,0,0,0,0.12057393120585,0,0,0,0.138302698166281,0.314393957221963,0.477121254719662,0.959041355700234,0.314393957221963,0,1.21371176271315,0,0,0.263241434774581,0,0,0,0,0,0,0,0,0,0,0.313572207720589,0,0,0,0,0,0,0,0.217483944213906,0,0.372385904199649,0,0,0,0.12057393120585,0.0543044920872295,2.02024769959089,0.435750878594501,0,0,0,0,0,0,0,0,0,0,0,0.314393957221963,0,0,0,0,0,0,0.288065018499614,2.69366359945452,0,0,0,0.439332693830263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108608984174459,0,0,0.673415899863631,0,0,0,0,0.615423952885944,0,0,0,0.0713559085356683,0,0,0,0,0,0,0,0,0,0,0.615423952885944,0,0,2.02024769959089,0,0,0,0,0.348600702875601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740362689494244,0,0,0,0,1.03702787975577,0,0,0,0,0,0,0.196294645143968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156786103860295,0,0,0,0,0,0,0.288065018499614,0.526482869549163,2.59256969938944,0,0.313572207720589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352182518111362,0,0.103540591907069
"5",19-09-20,"FayettevilleSep19_2020.txt",0.414908094498844,0.0271522460436148,0,1.21371176271315,0.12057393120585,0,0.684845361644413,0.36172179361755,0,0,0,0,0,0,0.239760338925059,0,0.217483944213906,0,0,0,0,0.207081183814139,0,0,0.434967888427812,0,0,0,0,0.404570587571051,0,0.313572207720589,2.55183038687159,0,0,0,0,0,0,0.652451832641719,0,0,0,0,0,0.602869656029249,1.03178534965736,0,0.435750878594501,0,0,0,0,0,0,0,0.673415899863631,0.615423952885944,0,0,0,0,0,0.404570587571051,0,0,0,0,0.673415899863631,0,0,0.261450527156701,0,0,0.576130036999227,0,0,0.528273777167044,0.576130036999227,0,0,0,0,0,0,0.740362689494244,0.135761230218074,0.288065018499614,0.819543935541869,0,0.518513939877887,0,0,1.19880169462529,0,0,0,0,0.642203176821014,0,0,0,0,0,0,0,0,0,0.342422680822206,0,0,0,0,0,0.439332693830263,0,0,1.9173038658158,0,1.55554181963366,0,0,0,0.288065018499614,0,0,0,0,0.789724304323744,0.479520677850117,0,0,1.34683179972726,0.744771808399299,0.372385904199649,0,0,0.878665387660525,0,1.63908787108374,0,0.740362689494244,0,0,0.518513939877887,0,0,0.916453948549925,0,0,0,0,0,1.76665180629571,0,0,0,0.615423952885944,0,0,0,0,0,0,0,0,0,0,0,0,0.470358311580884,0,0,1.05654755433409,0,0,0.372385904199649,0.288065018499614,1.31620717387291,0,0,0,0,0,0.809141175142101,1.48072537898849,0,0,0,0,0,0.314393957221963,0,0,0,0,0,1.23263881338977,0,0.310621775721208
"6",10-09-20,"FreelandSep10_2020.txt",0.553210792665126,0.0814567381308443,0,1.6182823502842,0.12057393120585,0,1.02726804246662,0.12057393120585,0,0,0,0.414908094498844,0.314393957221963,0,0.719281016775176,0.314393957221963,0.434967888427812,0,0,0,0.263241434774581,0.207081183814139,0,0,0.217483944213906,0,0.615423952885944,0,0,0.404570587571051,0.217483944213906,0.156786103860295,0.981473225719841,0,0,0,0,0,0.439332693830263,0.652451832641719,0.217483944213906,0,0,0,0,0.12057393120585,0.325826952523377,0,0.610051230032301,0,0,0,0,0.691513490831407,0,0,0,0,0.439332693830263,0,0,0,0.518513939877887,0.809141175142101,0,0,0,0.864195055498841,0.673415899863631,0,0,0.522901054313401,0,0,0.576130036999227,0,0,0.176091259055681,0.288065018499614,0,0,0,0,0,0,0,0.0271522460436148,0.288065018499614,0,0,0,0,0,0.239760338925059,0,0,0,0,0.856270902428019,0,0,0,0,0,0,0,0,0,0.342422680822206,0,0,0.819543935541869,0,0,0.439332693830263,0.943181871665888,0,0.1743003514378,0,0.518513939877887,0,0,0,0,0,0,0.740362689494244,0,0,0,0,0,0,0.372385904199649,0,0,0,0,0,0,0,0,0,0.518513939877887,0,0,0,0,0,0,0,0,0,0.392589290287936,0,0,0,1.23084790577189,0,0,0,0,0,0,0,0,0,0,0,1.48072537898849,0.156786103860295,0,0,0.352182518111362,0,0,1.4895436167986,0.576130036999227,1.05296573909833,0,0,0.156786103860295,0,0,0.404570587571051,0,0,0,0,0,0,0.628787914443925,0,0,0,0,0,0,0,0.517702959535348
"7",28-08-20,"NewHampshireAug28_2020.txt",1.10642158533025,0.108608984174459,0,1.6182823502842,0,0,0.342422680822206,0,0,0,0,0,0,1.43136376415899,0.719281016775176,0,0.652451832641719,0,0,0,0.526482869549163,0.310621775721208,0,0,0.217483944213906,0,0,0,0,0.404570587571051,0.217483944213906,0,0.392589290287936,0.12057393120585,0,0,0,0,0,0.434967888427812,0.217483944213906,0,0,0,0,0.2411478624117,0.190065722305303,0,0.261450527156701,0,0,0.372385904199649,0,0,0,0,0,0,0,0,1.57196978610981,0,0,0,0,0,0.615423952885944,0.288065018499614,0,0,0,0.348600702875601,0,0,0.864195055498841,0,0,0,0.288065018499614,0,0,0,0.564271430438563,0,0,0,0.0543044920872295,0.288065018499614,0,0,0,0,0,0.239760338925059,0,0,0,0,0.214067725607005,0,0,0,0,0,0,0,0.518513939877887,0,0,0,0,0,0,0,0,0.628787914443925,0,1.3944028115024,0.477121254719662,0,0,0,0,0,0,0,0,0,0.789724304323744,0,0,0.564271430438563,0,0,0.372385904199649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392589290287936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740362689494244,0,0,0,0.176091259055681,0.518513939877887,0,0,0,2.8956557825204,0.518513939877887,0,0.313572207720589,0,0,0.809141175142101,0,0,0,0,0,0,0.314393957221963,0,0,0,0,0,0.176091259055681,0,0
"8",14-01-20,"MilwaukeeJan14_2020.txt",0,0.0271522460436148,0,0,0.2411478624117,0,0,0.2411478624117,0,0,0.479520677850117,0.138302698166281,0,0,0,0.314393957221963,0,0.404570587571051,0,0,0,0,0,0,0.652451832641719,0,0,0,0,0.809141175142101,0.434967888427812,0.156786103860295,0,0.12057393120585,0,0,0,1.48072537898849,0,0.217483944213906,0.217483944213906,0.744771808399299,1.04139268515822,0,0,0.12057393120585,0.0543044920872295,0,0.261450527156701,0,0,0.372385904199649,0,0.414908094498844,0,0,0,0,0,0.740362689494244,0,0,0,0,0,0,0,0.288065018499614,0,0,0,0.261450527156701,0.439332693830263,0,0,0,0,0.176091259055681,0,0,0,0,0,0,0,0,0.0271522460436148,0.288065018499614,0,0,0,0,0,0,0,0,0,0,0.142711817071337,0,0,0,0,0,0,0.342422680822206,0,0,0,0,0,0,0,0,0.439332693830263,0,0,0.348600702875601,0,0,0,0,0,0,0,0,0,0,0,0.479520677850117,0,0,0,0,0,0,0,0.439332693830263,0,0,0,0,0,0,2.59256969938944,0,0,0,0,1.04139268515822,0,0.954242509439325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518513939877887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314393957221963,0,0,0,0,0.959041355700234,0.176091259055681,0,0.414162367628278
"9",13-03-20,"Coronavirus_conference_Mar13_2020.txt",3.04265935965819,0.380131444610607,16.2879791688734,0,2.1703307617053,8.58818258495392,2.39695876575544,0.964591449646799,12.830355279699,11.913901331149,2.63736372817564,1.24472428349653,0.943181871665888,4.77121254719662,3.83616542280094,2.82954561499766,2.17483944213906,1.6182823502842,2.45863180662561,6.41517763984948,1.84269004342207,0.621243551442417,4.30796767020161,8.7544066982272,0.434967888427812,7.25919515829042,0,2.69366359945452,8.08099079836357,4.85484705085261,0.434967888427812,1.41107493474265,0.196294645143968,2.04975683049945,9.8467832461751,2.22108806848273,0.740362689494244,2.96145075797698,1.31799808149079,0.869935776855625,1.08741972106953,3.35147313779684,0,0,3.64113528813946,0.844017518440949,0.162913476261689,2.69366359945452,0.0871501757189002,3.62959757914521,0.740362689494244,0.744771808399299,2.74936184564978,0.829816188997689,0,3.6658157941997,4.04049539918178,5.5388155759735,0.878665387660525,1.48072537898849,2.5151516577757,1.83290789709985,0,0.404570587571051,3.08180412739986,0,0.615423952885944,0.576130036999227,0,2.07405575951155,0.477121254719662,0.0871501757189002,2.63599616298158,3.36707949931815,1.72839011099768,4.91726361325121,0.916453948549925,1.05654755433409,1.15226007399845,0.954242509439325,0,1.34683179972726,2.25708572175425,0,2.46169581154378,6.6632642054482,0.217217968348918,2.01645512949729,5.73680754879308,0,2.07405575951155,0,0,0,2.46169581154378,8.24808553694933,1.75733077532105,4.09771967770934,0.285423634142673,3.94990001306994,0.916453948549925,0,0,4.58226974274963,4.04049539918178,0.342422680822206,5.18513939877887,0.916453948549925,0.342422680822206,2.46169581154378,1.75733077532105,1.63908787108374,0.673415899863631,1.12854286087713,0.439332693830263,1.88636374333178,8.24808553694933,0.871501757189002,1.43136376415899,2.07405575951155,1.34683179972726,0,0,0.288065018499614,2.22108806848273,0.916453948549925,2.22108806848273,4.86993577685563,0.789724304323744,0,2.25708572175425,1.69281429131569,0,1.86192952099825,0.744771808399299,0,0,0.878665387660525,0,0.819543935541869,0,5.92290151595395,0,2.59256969938944,4.1481115190231,0,2.07405575951155,0,6.55635148433495,13.5381049070569,7.28974879610757,0.954242509439325,0,1.37406251600778,2.19666346915131,0,2.74936184564978,0,0.518513939877887,0.819543935541869,0.809141175142101,0,0,1.48072537898849,1.63908787108374,4.09771967770934,2.69366359945452,0.740362689494244,0,0,0.940716623161767,0.819543935541869,0,0.352182518111362,2.07405575951155,0.477121254719662,0.372385904199649,0.864195055498841,0,2.59256969938944,1.48072537898849,1.41107493474265,0.819543935541869,4.04049539918178,1.6182823502842,0,0.954242509439325,6.41517763984948,0.819543935541869,1.34683179972726,4.91726361325121,0,0,0.477121254719662,0,0,0.239760338925059,0.176091259055681,4.09771967770934,0.310621775721208
"10",8-08-20,"ExecutiveOrders_Aug08_2020.txt",1.10642158533025,0.0543044920872295,0,0.809141175142101,0.36172179361755,1.43136376415899,0,0.2411478624117,0,0,1.19880169462529,1.79793507616166,0,0,0,0.628787914443925,0.217483944213906,3.64113528813946,0,0,0,0,0,0.673415899863631,0,0,1.23084790577189,0,0,0,1.08741972106953,0,0.588883935431905,0.12057393120585,0.615423952885944,0,0,0,0,1.08741972106953,0.217483944213906,0,0,1.84627185865783,0.404570587571051,0.12057393120585,0.0543044920872295,0,0,2.59256969938944,0,0,0,0,1.48072537898849,0,0,0,0.439332693830263,0,0,0,6.74068121841254,0,1.02726804246662,0,3.07711976442972,1.44032509249807,4.04049539918178,1.55554181963366,0.477121254719662,0.610051230032301,0,0,0,0,0.916453948549925,0,0,0,0,3.36707949931815,0,0,0.615423952885944,0,0.0814567381308443,0.576130036999227,0,4.71391129904541,0,0,0,0,0,0,0,0,0.142711817071337,0,0,0,0,0,0,0,0,0,0,0,0.439332693830263,0,3.36707949931815,0,0.878665387660525,0.943181871665888,0,0,0,0.518513939877887,0,0,0,0.288065018499614,0,0,1.48072537898849,0,0.263241434774581,0.239760338925059,1.12854286087713,0,0.673415899863631,0.372385904199649,0.372385904199649,0,0,0.439332693830263,0,0,0.740362689494244,0,1.84627185865783,0.518513939877887,1.03702787975577,0,0,0,0,0,0,0,0,0,0,1.03702787975577,0,0,0.518513939877887,0,0.404570587571051,0,0,0,1.63908787108374,0,1.34683179972726,0.740362689494244,0,0,0.156786103860295,0,6.41517763984948,0,1.03702787975577,0.954242509439325,0.744771808399299,0.864195055498841,0,0.518513939877887,0,0,0,0,0,0,0.477121254719662,0,0,0,0,0.628787914443925,0,0,0,3.27817574216747,0.239760338925059,0.176091259055681,0,0
