"","state","dates","X1","X2","Covid_topic_prop","X4","observed","covid_cases","strictness_measure"
"1","Alabama",2020-02-19,-0.663710153612451,-0.863171360277124,-0.604763793096244,2.50698840498449,-0.110194067124119,-0.448719953782283,-1.53119959227487
"2","Alabama",2020-02-20,0.325741682306605,0.593401379096912,-0.604777128649212,-0.420136330717489,-0.151603532144695,-0.465145608494535,-1.53119959227487
"3","Alabama",2020-02-21,-0.663668801974699,-0.86313413099143,-0.586208191126446,2.4858625669141,-0.078530459071622,-0.476832321260465,-1.53119959227487
"4","Alabama",2020-02-28,-0.663725704475239,-0.863185360871656,1.97762003898305,-0.420138673154318,-0.224844879421736,-0.451892635254821,-1.49995525135923
"5","Alabama",2020-03-02,1.94356442273655,-0.863169097286296,-0.604761303575194,-0.42011839281273,-0.12962962962963,-0.536551021889116,-1.40622222861232
"6","Alabama",2020-03-11,-0.663717965301121,-0.863178393217168,-0.604771530048616,2.50701471475998,-0.235194067124119,-0.537555035013337,-1.13449797855538
"7","Alabama",2020-03-13,-0.663727211791983,1.48423641577062,-0.604780688076096,-0.420140365369103,-0.0744152327341734,-0.548679500429703,-0.701025046646371
"8","Alabama",2020-04-13,1.94356520018257,-0.863169330600393,-0.604761560244533,-0.420118683750394,1.4905303030303,-0.501972809890953,1.81070413569811
"9","Alabama",2020-04-15,-0.663647961123799,0.873468571502844,0.0669693376784216,-0.420051393258377,1.11238213602203,-0.501611365166233,1.81070413569811
"10","Alabama",2020-04-23,1.85894083119402,-0.863186495963897,-0.604780443897606,-0.325070886729521,0.628000481771351,-0.501129438866607,1.27808399922287
"11","Alabama",2020-06-01,-0.0319305564898673,-0.86315790446374,1.35180901648943,-0.420104435603444,0.225799663299663,-0.512936633207443,0.306915135383013
"12","Alabama",2020-06-20,-0.66373716636851,-0.863195680126768,1.97765409568685,-0.42015154104377,0.354096520763187,-0.476350394960839,0.181486589902186
"13","Alabama",2020-07-04,-0.554653196225363,1.38601746731084,-0.604770489724338,-0.420128805419223,0.578656939768051,-0.349684099209147,0.181486589902186
"14","Alabama",2020-08-08,-0.663729690082762,1.48424310945922,-0.604783142656473,-0.420143147664402,0.0573325851103629,0.51617681911884,0.411138135404852
"15","Alabama",2020-08-18,-0.484898669982178,1.32322696534267,-0.60477609103473,-0.420135154569453,0.361549049049049,0.597823166380473,0.411138135404852
"16","Alabama",2020-08-28,-0.66372085260447,1.48421924005365,-0.604774389728448,-0.420133226119072,0.395616111217723,0.74730064031446,0.369403817214289
"17","Alabama",2020-09-01,0.131517591426401,0.768250903229455,-0.604770344933458,-0.420128641297083,0.276589089089089,0.971316048590597,0.244200862642599
"18","Alabama",2020-09-03,-0.663729709902652,1.43965425570993,-0.604783162286741,-0.364541760357548,-0.0263291501057765,0.942922557437634,0.244200862642599
"19","Alabama",2020-09-07,1.60433112989682,-0.86317887620614,-0.604772061385815,-0.0392479778966538,0.36026936026936,0.666698466702017,0.244200862642599
"20","Alabama",2020-09-08,-0.663723759928566,1.48422709253098,-0.60477726923748,-0.42013649007592,0.274274274274274,0.626738744358031,0.244200862642599
"21","Alabama",2020-09-10,0.270371652052099,0.64325963341765,-0.604781568741074,-0.42014136361306,0.0416467129190215,0.591879408685086,0.244200862642599
"22","Alabama",2020-09-12,-0.663725525322001,-0.863185199578236,1.97761950666534,-0.420138472024888,0.416292555181444,0.545534162871055,0.244200862642599
"23","Alabama",2020-09-13,1.94360390628293,-0.863180946427853,-0.604774338841147,-0.420133168437722,0.983164983164983,0.566859401629504,0.244200862642599
"24","Alabama",2020-09-17,1.94354528903131,-0.863163355198695,-0.604754986692357,-0.420111232552844,0.006592660593812,0.481076520296082,0.244200862642599
"25","Alabama",2020-09-18,-0.631993999076575,-0.863180426573119,-0.604773766947841,2.47140433554212,-0.0639779099767585,0.437944116479558,0.244200862642599
"26","Alabama",2020-09-19,-0.663714485556391,0.536779202114029,0.437493808392571,-0.420126078044236,0.267863823419379,0.45846614473863,0.244200862642599
"27","Alabama",2020-09-21,-0.663592427586499,-0.863065370379454,1.97722403359239,-0.419989047588078,0.491372053872054,0.397301665211101,0.244200862642599
"28","Alabama",2020-09-22,-0.66371908990192,-0.863179405706319,1.97760038511271,-0.420131247191066,0.332895395395395,0.376659155377123,0.244200862642599
"29","Alabama",2020-11-05,-0.306114777802382,0.309697098329402,0.332906028323054,-0.41987350691033,0.0461146235469782,-0.127596396131514,0.244200862642599
"30","Alaska",2020-02-19,-0.663710153612451,-0.863171360277124,-0.604763793096244,2.50698840498449,-0.150124585035995,-0.679442169728215,-2.0324625923799
"31","Alaska",2020-02-20,0.325741682306605,0.593401379096912,-0.604777128649212,-0.420136330717489,-0.159012053066686,-0.67719318032996,-2.0324625923799
"32","Alaska",2020-02-21,-0.663668801974699,-0.86313413099143,-0.586208191126446,2.4858625669141,-0.187517550555487,-0.67550643828127,-2.0324625923799
"33","Alaska",2020-02-28,-0.663725704475239,-0.863185360871656,1.97762003898305,-0.420138673154318,-0.21754778694911,-0.678879922378651,-2.00121825146427
"34","Alaska",2020-03-02,1.94356442273655,-0.863169097286296,-0.604761303575194,-0.42011839281273,-0.0898070796818825,-0.680687146002249,-1.90748522871735
"35","Alaska",2020-03-11,-0.663717965301121,-0.863178393217168,-0.604771530048616,2.50701471475998,-0.123387486295646,-0.678879922378651,-1.25981372858164
"36","Alaska",2020-03-13,-0.663727211791983,1.48423641577062,-0.604780688076096,-0.420140365369103,-0.09855897579902,-0.676389969830584,-0.998805046708767
